FID,Water,BH,Shape_Leng,Frequency,slope,Buildng,NDVI,Winding,Sport,Life,Education,Finance,Traffic,Public,Scenery,Food,POI,SVI,GVI,VW,VEI,light,POIden,OrigLen,BH_1,FREQUENC_1,SUM_C_INTR,SUM_C_BUIL,SUM_C_NDVI,SUM_C_POI,SUM_C_WIND,SUM_C_SLOP,SUM_C_WATE,SUM_C_SVI,SUM_C_GVI,SUM_C_VW,SUM_C_LIGH,SUM_C_POID,Score,startX,startY,endX,endY,Total,dij_W1,distance,score_ori,dis_ori,toatl_ori1,toatl_ori2
0,0.076929309,1,281.8725419,32,4.277648162,23136.48774,65.2621352,8,10,66,23,8,23,1,0,26,2.285419631,0.114654699,0.211215831,0.135341193,0.761732985,43192.66667,13828794.11,281.8725419,1,2,6.740895831,-0.000395826,0.201496731,8.417580588,2.232264372,0.297560862,-0.028065933,104.6073858,-26.53025096,6.655836314,-6.82E-05,-2.26E-07,3.58948658,120.167811,30.2807955,120.1703146,30.2810347,10.89658906,7.41051342,3.035695724,50.32378336,281.8725419,1011.777706,14184.89273
1,227.1093114,2,448.3355502,36,5.077568276,39883.58472,61.61512578,2,5,80,26,16,40,4,3,49,2.400325396,0.153573557,0.204308482,0.146819831,0.748417478,61262.5,13139354.27,448.3355502,2,4,19.54150793,-0.000370882,0.173435896,8.361090837,1.614070594,0.371049762,-0.024714683,1.67463823,-22.23910759,6.59054865,-0.000178467,-2.19E-07,2.682657084,120.1722304,30.2844076,120.1730955,30.2809938,11.36900429,8.317342916,4.237964054,17.87413636,448.3355502,1202.73054,8013.610759
2,33.79471861,3,18.64594846,80,3.65874194,2514.755373,88.8710477,2,0,11,1,0,9,1,1,2,1.900533277,0.157641171,0.273151302,0.175535812,0.677958567,74904,5061469.384,18.64594846,3,1,12.63896106,-0.000368606,0.336014259,8.425828922,0.811966746,0.258357263,-0.085551532,39.74607033,50.45121662,6.62816116,6.28E-05,-1.66E-07,4.48415936,120.1811647,30.2778044,120.1809974,30.2777973,5.087541773,6.51584064,1.134558646,82.33841897,18.64594846,83.61140431,1535.277916
3,208.0845605,4,269.8109365,72,5.398784351,31401.60566,39.36239755,2,6,84,11,15,24,2,1,67,2.154299703,0.10171408,0.242543488,0.184279565,0.758343242,69663.83333,18026346.69,269.8109365,4,1,31.28065538,-0.000398135,0.079804994,8.503601432,-1.548995078,0.199010731,-0.08563899,96.04167951,-1.091137466,6.710967779,0.000124527,-1.79E-07,3.205626564,120.1779477,30.2727808,120.1755305,30.2726262,9.452051366,7.794373436,2.948581557,36.58788032,269.8109365,864.9131053,9871.810254
4,290.6354352,5,261.489803,12,4.726176296,26519.31905,54.38459248,2,10,44,17,13,22,3,0,28,2.510476041,0.191424941,0.169698522,0.109484325,0.752708804,52241.5,11254978.99,261.489803,5,2,29.07706339,-0.000353616,0.110480105,8.317441383,1.275291134,0.424649789,-0.013717482,-108.3944797,-18.67190041,6.538627549,-0.000192031,-2.14E-07,2.505116267,120.1760945,30.28521666,120.173768,30.2849349,7.235985017,8.494883733,2.888482708,11.52108225,261.489803,655.0623591,3012.645528
5,0.284369149,6,5.241109662,48,3.43433641,19335.95258,15.30510557,2,7,33,8,11,18,9,0,37,2.515620296,0.228139277,0.150746609,0.085471169,0.74924616,584829.25,21172336.8,5.241109662,6,1,-12.39202531,-0.000450129,0.335590047,8.634213458,-14.42211513,0.111464853,-0.107758035,569.6103442,295.8001774,6.842560194,-2.87E-05,-1.77E-07,5.869139075,120.1569539,30.26059334,120.1570009,30.260595,6.090658364,5.130860925,1.037743063,131.8980143,5.241109662,30.76080151,691.2919571
6,423.3579544,7,16.30422144,28,8.380173918,8369.815999,49.01435563,2,14,36,7,3,10,8,2,110,1.943563554,0.213227125,0.150462373,0.154097489,0.749623521,735117,29358040.35,16.30422144,7,1,4.882544212,-0.000440821,0.118432047,8.527071961,8.045278101,0.178458949,-0.041614599,56.07582371,11.16268523,6.77342638,-1.92E-05,-1.99E-07,2.693497764,120.1586001,30.2726536,120.1585971,30.2725265,3.010376124,8.306502236,1.117645674,18.26205519,16.30422144,43.91538399,297.7485918
7,276.0153395,8,87.48322548,20,3.618435262,19159.02566,115.5822319,2,7,36,13,6,13,6,0,24,2.494827735,0.028432996,0.43112278,0.154987785,0.68280902,44258.25,11708362.29,87.48322548,8,2,6.33769945,-0.00040322,0.261110222,8.31772953,2.278454571,0.656360753,-0.019956114,239.4308813,-66.41440126,6.598198242,-0.000109128,-2.19E-07,2.81958331,120.1573154,30.2877819,120.1568619,30.2883389,4.600802722,8.18041669,1.631731435,22.77385314,87.48322547,246.6662424,1992.330129
8,312.1748604,9,20.79883101,40,7.61305517,19000.54572,53.01953192,2,5,52,27,17,18,5,0,59,2.381024608,0.122972016,0.169780976,0.127678776,0.737678489,32726,22453399.03,20.79883101,9,2,-17.14085298,-0.000408848,0.299688428,8.379319812,7.902847701,0.435793248,-0.019123267,239.734237,-67.11052511,6.64645255,-2.56E-05,-2.23E-07,3.222365906,120.1606674,30.2836473,120.1607414,30.2834984,3.706067846,7.777634094,1.150107702,37.18687469,20.79883101,67.02144393,773.4435225
9,241.3831657,10,342.4263779,76,5.160991995,30082.61138,72.05775574,4,15,113,9,17,21,0,2,138,1.942018127,0.123452246,0.235903194,0.203918771,0.75422951,102322.8889,21037677.35,342.4263779,10,2,33.37184539,-0.000402706,0.099511928,8.525365918,-1.713467817,0.184323404,-0.077954848,88.80666313,-6.078863873,6.728632814,0.000125942,-1.77E-07,3.310347974,120.1758979,30.2698675,120.1755459,30.2725194,11.4969772,7.689652026,3.473041895,40.33519202,342.4263779,1133.550466,13811.83371
