OBJECTID,Water,BH,dis_ori,Frequency,slope,Buildng,NDVI,Winding,Sport,Life,Education,Finance,Traffic,Public,Scenery,Food,POI,SVI,GVI,VW,VEI,light,POIden,OrigLen,BH_1,FREQUENC_1,SUM_C_INTR,SUM_C_BUIL,SUM_C_NDVI,SUM_C_POI,SUM_C_WIND,SUM_C_SLOP,SUM_C_WATE,SUM_C_SVI,SUM_C_GVI,SUM_C_VW,SUM_C_LIGH,SUM_C_POID,score_ori,dis_ori,Score,distance,Total,dij_W1,startX,startY,endX,endY,Shape_Length,toatl_ori1
31,248.9892907,335,309.8588202,52,4.98602889,21838.07256,106.2254016,17,1,11,1,0,15,2,0,69,1.375363749,0.158920723,0.145178644,0.162456905,0.763766981,47257.16667,14856065.76,309.8588202,335,1,13.67851553,-0.000425046,0.210475773,8.566286928,3.49721225,0.152701909,-0.02874293,90.82177882,-34.21142874,6.777370434,-2.66E-05,-1.82E-07,98.20440891,309.8588202,4.927546237,3.237824812,15.95453147,6.072453763,120.167631,30.2675205,120.1676125,30.2677123,309.8588202,30429.50228
150,163.0357174,2989,11.04447028,76,6.421614722,11993.45469,109.720303,2,5,34,1,3,19,6,1,45,2.160152719,0.072493821,0.287584739,0.26778669,0.743989564,68390.75,21098604.6,11.04447028,2989,1,29.75192531,-0.000413702,0.362763484,8.58284411,-1.740785438,0.15160507,-0.078616461,39.66622572,20.99525171,6.772516642,0.000117436,-1.71E-07,82.95148226,11.04447028,4.501291869,1.079657461,4.85985335,6.498708131,120.1759888,30.2649643,120.1759835,30.2648783,11.04447028,916.1551805
108,2.855761398,1138,647.6705962,84,6.812640811,35443.9022,105.8489969,19,24,131,37,19,66,8,2,78,2.429371022,0.07174964,0.319342669,0.256574368,0.75375111,43882.35714,19307224.64,647.6705962,1138,3,28.36832311,-0.000422836,0.395306847,8.612404326,0.321220758,0.132188917,-0.077460317,64.00470811,-7.36899303,6.798231021,-2.33E-05,-1.71E-07,82.58266835,647.6705962,4.49098509,5.677648555,25.49823501,6.50901491,120.1749129,30.260486,120.1751616,30.2655063,647.6705962,53486.36605
69,57.45727895,628,88.45718239,76,6.351571041,15765.37016,90.31312909,2,16,66,8,10,32,5,0,44,2.35081868,0.086716469,0.268743659,0.307154392,0.741010022,71399.8,22958510.14,88.45718239,628,2,29.95460373,-0.000414635,0.349669755,8.58327004,-1.325196964,0.150392322,-0.077633489,43.57854598,15.43192806,6.773861387,9.59E-05,-1.72E-07,81.92777091,88.4571824,4.472683495,1.638765776,7.329680639,6.527316506,120.1751616,30.2655063,120.1759559,30.265526,88.45718239,7247.099775
231,100.5060197,3551,11.14258068,76,7.323797252,13465.71697,87.43083794,2,15,64,6,9,28,6,0,44,2.327583575,0.098438684,0.238125743,0.282058185,0.740869733,75188.5,22995667.81,11.14258068,3551,1,29.75192531,-0.000413702,0.362763484,8.58284411,-1.740785438,0.15160507,-0.078616461,39.66622572,20.99525171,6.772516642,0.000117436,-1.71E-07,81.30693758,11.14258068,4.455333846,1.080366057,4.813391459,6.544666154,120.1759559,30.265526,120.1759806,30.2654418,11.14258068,905.9691118
221,223.211076,3443,128.1787448,76,5.940706662,17008.14725,110.401401,2,10,60,5,7,17,6,2,56,2.249940666,0.074249309,0.295645591,0.230077953,0.7447994,58178.57143,20085018.9,128.1787448,3443,2,26.01194782,-0.000417448,0.447949613,8.604767376,-0.773473026,0.140788033,-0.08222838,48.15898018,26.91569199,6.787992765,2.52E-05,-1.70E-07,79.81203539,128.1787448,4.413557693,1.925652196,8.498977066,6.586442307,120.1759835,30.2648783,120.1759595,30.263879,128.1787448,10230.20652
151,131.7920296,2990,61.2423029,76,7.006435663,16104.61092,94.50390488,2,15,73,7,8,28,6,1,51,2.305515221,0.084005577,0.262244897,0.278470801,0.742193839,71629.16667,22099944.08,61.2423029,2990,1,29.75192531,-0.000413702,0.362763484,8.58284411,-1.740785438,0.15160507,-0.078616461,39.66622572,20.99525171,6.772516642,0.000117436,-1.71E-07,79.72900894,61.2423029,4.411237458,1.442208066,6.361922243,6.588762542,120.1759806,30.2654418,120.1759888,30.2649643,61.2423029,4882.788115
109,0.036750769,1141,647.4623766,84,6.40119458,41758.18757,106.9539709,14,21,121,37,11,72,8,3,49,2.404410947,0.058148943,0.326670111,0.283818501,0.756830246,42129.375,19242178.62,647.4623766,1141,3,28.36495982,-0.000422842,0.395421862,8.612443591,0.321245009,0.132170618,-0.07746499,64.01170501,-7.371568951,6.798257544,-2.33E-05,-1.71E-07,78.01246928,647.4623766,4.363267481,5.676144702,24.7665376,6.636732519,120.1746621,30.265507,120.1745844,30.2604814,647.4623766,50510.13876
68,3.726172696,627,55.60417235,76,6.004425716,13137.30399,94.56016035,2,11,51,4,9,29,5,1,17,2.375655373,0.071056514,0.31176868,0.337038441,0.746114905,60299,22992284.4,55.60417235,627,1,30.80849126,-0.00041857,0.294505657,8.58506449,0.425684166,0.145282993,-0.07349221,60.06121612,-8.006446741,6.779526818,5.08E-06,-1.74E-07,75.36889755,55.60417235,4.289390905,1.401487032,6.01152573,6.710609095,120.1746621,30.265507,120.1751616,30.2655063,55.60417235,4190.825169
66,282.8575937,625,263.2141867,76,5.692520261,21069.00554,117.1290844,4,11,63,5,7,23,6,2,58,2.267221937,0.066186422,0.31811327,0.263959535,0.743072873,58275.5,19840653.42,263.2141867,625,2,26.99538562,-0.000416463,0.425549676,8.59900259,-1.027830598,0.143632404,-0.081278615,45.92578604,25.35889524,6.783923274,4.94E-05,-1.70E-07,73.67923931,263.2141867,4.24217215,2.900936958,12.30627397,6.75782785,120.1759835,30.2648783,120.1759595,30.263879,263.2141867,19393.42105
67,188.2466938,626,190.4823298,76,6.308713958,18602.08958,99.53677278,4,16,76,9,8,31,6,1,54,2.321571085,0.074985587,0.287122296,0.303121507,0.741685809,71629.16667,22014587.58,190.4823298,626,1,29.75192531,-0.000413702,0.362763484,8.58284411,-1.740785438,0.15160507,-0.078616461,39.66622572,20.99525171,6.772516642,0.000117436,-1.71E-07,72.97981819,190.4823298,4.222626307,2.375635817,10.0314223,6.777373693,120.1759806,30.2654418,120.1759888,30.2649643,190.4823298,13901.3658
289,118.5875497,4005,157.9480134,76,3.954509484,13475.06554,63.13744604,2,2,28,3,3,16,0,1,16,2.135832967,0.218750306,0.161117688,0.215799555,0.74581819,39544.28571,7531645.341,157.9480134,4005,1,0.333218154,-0.000403996,0.395100934,8.577988908,1.525197265,0.158364204,-0.079281406,122.661178,45.2894253,6.758282164,0.000156503,-1.66E-07,72.95417767,157.9480134,4.221909764,2.140658817,9.037668359,6.778090236,120.1816015,30.2662773,120.1830137,30.266158,157.9480134,11522.96743
49,115.348031,580,166.5570481,76,3.858988459,14599.47714,61.58143178,2,2,26,4,5,18,0,1,15,2.241534695,0.212737918,0.162668701,0.225572906,0.746585798,39856.25,7385580.539,166.5570481,580,1,0.333218154,-0.000403996,0.395100934,8.577988908,1.525197265,0.158364204,-0.079281406,122.661178,45.2894253,6.758282164,0.000156503,-1.66E-07,72.5054866,166.5570481,4.209370759,2.202837015,9.272557715,6.790629241,120.1831038,30.2663792,120.1816125,30.2664843,166.5570481,12076.29982
144,23.93515515,2818,108.783634,52,5.568511862,16589.0668,86.43202601,5,1,34,4,7,17,2,0,56,1.982301543,0.173645864,0.127321315,0.167176043,0.759551518,59378.4,17839255.94,108.783634,2818,2,20.31876526,-0.000430785,0.159259157,8.590141057,3.083452119,0.138828839,-0.041595233,130.8108124,-67.10261575,6.796918912,-3.23E-05,-1.79E-07,69.36212761,108.783634,4.121527256,1.785572261,7.35928474,6.878472744,120.1667512,30.2670523,120.1676789,30.2670852,108.783634,7545.464303
229,4.235530609,3549,147.8770337,92,6.248424362,16977.69309,71.27832132,5,11,132,17,24,32,5,0,25,2.10858855,0.10309021,0.254636629,0.281575635,0.744707079,60344,24536026.73,147.8770337,3549,1,30.80849126,-0.00041857,0.294505657,8.585064489,0.425684166,0.145282993,-0.07349221,60.06121612,-8.006446741,6.779526818,5.08E-06,-1.74E-07,67.62430939,147.8770337,4.072962635,2.067921816,8.422568289,6.927037365,120.1751616,30.2655063,120.1750009,30.2666405,147.8770337,10000.08228
141,66.89760996,2439,86.36380315,52,4.820007645,12956.39482,106.8706597,2,12,75,7,8,10,2,1,72,2.02129918,0.112593965,0.262435239,0.283437019,0.756173848,112745.75,21758447.51,86.36380315,2439,2,31.09657835,-0.000406011,0.117368629,8.533354655,-0.798594315,0.177869544,-0.072011526,85.62373515,-11.47141426,6.737022123,0.000110427,-1.77E-07,67.20075394,86.36380315,4.061126063,1.62364648,6.593833036,6.938873937,120.1750626,30.2696447,120.1758366,30.2696908,86.36380315,5803.712685
59,4.411932508,604,146.4159711,52,5.284832799,15132.52643,118.5083491,4,13,65,7,8,23,1,0,63,2.13728827,0.09785822,0.30034455,0.247588329,0.752503625,86851,18123815.63,146.4159711,604,1,24.98099265,-0.000409855,0.141443503,8.535549918,1.212487649,0.174178357,-0.06474366,83.79767201,-19.3799624,6.742765271,7.72E-05,-1.80E-07,66.7602304,146.4159711,4.048815305,2.057369386,8.329908658,6.951184695,120.1737482,30.2696101,120.1750626,30.2696447,146.4159711,9774.763965
15,29.33660757,102,71.39569639,72,5.515532539,16261.23339,89.36516012,2,6,108,14,13,30,5,1,5,1.92058415,0.059232956,0.316429774,0.336791096,0.750994798,54313,23016927.81,71.39569639,102,1,30.80849126,-0.00041857,0.294505657,8.58506449,0.425684166,0.145282993,-0.07349221,60.06121612,-8.006446741,6.779526818,5.08E-06,-1.74E-07,65.88749375,71.39569639,4.024426031,1.515540295,6.099179815,6.975573969,120.1740216,30.2655358,120.1746621,30.265507,71.39569639,4704.0835
